"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.465074583E-1,8.897085330E-1,6.731661984E0,2.050793946E-1,6.793299044E0
8.564794583E-1,3.684382477E-1,6.620131023E0,1.804345318E-1,6.632830325E0
8.664504583E-1,-1.313613907E-1,6.436686326E0,2.292272258E-1,6.442106162E0
8.764224583E-1,-5.956700015E-1,6.289196159E0,2.663687396E-1,6.322955273E0
8.863944583E-1,-8.237408307E-1,6.097336149E0,2.259709114E-1,6.156875825E0
8.963654583E-1,-7.753249349E-1,5.885962812E0,2.113008320E-1,5.940566894E0
9.063374583E-1,-5.858734667E-1,5.676581036E0,2.391037577E-1,5.711741467E0
9.163084583E-1,-2.184420365E-1,5.441141728E0,1.726215005E-1,5.448260127E0
9.262804583E-1,2.741249250E-1,5.164579538E0,6.850362143E-2,5.172303067E0
9.362514583E-1,7.117868970E-1,4.853991814E0,1.723758261E-2,4.905932557E0
9.462234583E-1,1.072085455E0,4.552036920E0,-2.447761416E-2,4.676644791E0
9.561954583E-1,1.297732796E0,4.172032807E0,-9.237723649E-2,4.370183258E0
9.661664583E-1,1.353685680E0,3.716666270E0,-1.881686622E-1,3.959984915E0
9.761384583E-1,1.187555977E0,3.277705851E0,-1.930773997E-1,3.491550333E0
9.861094583E-1,8.681188586E-1,2.761533533E0,-2.010068089E-1,2.901741123E0
9.960814583E-1,4.943913659E-1,2.224199558E0,-2.499170136E-1,2.292148558E0
1.006052458E0,1.034087763E-1,1.711797525E0,-3.032389426E-1,1.741521748E0
1.016024458E0,-2.818774924E-1,1.191547360E0,-2.740987587E-1,1.254739081E0
1.025996458E0,-6.196985129E-1,6.376797974E-1,-2.556841590E-1,9.252222220E-1
1.035967458E0,-7.948164091E-1,1.206292284E-1,-2.732994809E-1,8.491037281E-1
1.045939458E0,-8.387316298E-1,-3.668385226E-1,-2.966608250E-1,9.623143424E-1
1.055910458E0,-8.659418672E-1,-8.692868400E-1,-3.468170714E-1,1.275067453E0
1.065882458E0,-7.493038751E-1,-1.355791554E0,-4.112867536E-1,1.602742596E0
1.075854458E0,-4.272328050E-1,-1.787337704E0,-3.662449571E-1,1.873830117E0
1.085825458E0,-2.878500212E-1,-2.235269507E0,-4.709487089E-1,2.302407455E0
1.095797458E0,-1.412831289E-1,-2.679293030E0,-6.222899258E-1,2.754236158E0
1.105768458E0,1.221426339E-1,-3.121222081E0,-6.443053506E-1,3.189369136E0
1.115740458E0,3.500655652E-1,-3.488325482E0,-6.642741767E-1,3.568223753E0
1.125711458E0,3.082143384E-1,-3.911656294E0,-7.981472754E-1,4.004134128E0
1.135683458E0,2.918030313E-1,-4.307905142E0,-8.960917190E-1,4.409781864E0
1.145655458E0,3.198614804E-1,-4.645105882E0,-8.815567104E-1,4.738824987E0
1.155626458E0,2.952805167E-1,-4.987745703E0,-8.549249089E-1,5.069092067E0
1.165598458E0,7.979008153E-2,-5.312936847E0,-9.258773625E-1,5.393599289E0
1.175569458E0,-8.923925512E-2,-5.590421728E0,-9.653161012E-1,5.673853534E0
1.185541458E0,-1.912709025E-1,-5.841517541E0,-9.306732488E-1,5.918282220E0
1.195512458E0,-3.042938169E-1,-6.067425302E0,-9.345704180E-1,6.146516606E0
1.205484458E0,-4.821988614E-1,-6.245903374E0,-9.431190473E-1,6.335084706E0
1.215456458E0,-6.028037507E-1,-6.354496109E0,-9.266065103E-1,6.449929673E0
1.225427458E0,-7.029708306E-1,-6.480864379E0,-8.767864788E-1,6.577577489E0
1.235399458E0,-7.342342848E-1,-6.543622545E0,-8.555394512E-1,6.640033415E0
1.245370458E0,-7.869016179E-1,-6.522022930E0,-7.976455843E-1,6.617570229E0
1.255342458E0,-8.847658816E-1,-6.538812625E0,-8.610891167E-1,6.654348629E0
1.265313458E0,-8.705192868E-1,-6.502699052E0,-8.260788399E-1,6.612511251E0
1.275285458E0,-7.712251597E-1,-6.377359307E0,-7.797180212E-1,6.470970574E0
1.285257458E0,-7.117082519E-1,-6.223583382E0,-7.414656094E-1,6.307875237E0
1.295228458E0,-6.701168608E-1,-6.081091415E0,-7.951400524E-1,6.169357917E0
1.305200458E0,-5.341385452E-1,-5.855839711E0,-7.875463466E-1,5.932654714E0
1.315171458E0,-3.191299937E-1,-5.575238264E0,-7.766190699E-1,5.638108089E0
1.325143458E0,-2.052940605E-1,-5.328347184E0,-8.108663582E-1,5.393601173E0
1.335114458E0,-9.939389527E-2,-5.027831290E0,-9.001963913E-1,5.108749374E0
1.345086458E0,4.582338654E-2,-4.641861262E0,-9.189396411E-1,4.732169252E0
1.355058458E0,2.438408064E-1,-4.296900682E0,-9.462859724E-1,4.406616724E0
1.365029458E0,2.655749801E-1,-3.943719501E0,-9.615484478E-1,4.067926866E0
1.375001458E0,2.526218625E-1,-3.526068090E0,-1.018162798E0,3.678808158E0
1.384972458E0,2.230038149E-1,-3.118644043E0,-9.851288798E-1,3.278132133E0
1.394944458E0,1.481396471E-1,-2.729963831E0,-9.522792953E-1,2.895079227E0
1.404916458E0,-3.938472502E-2,-2.291982821E0,-8.783324095E-1,2.454832831E0
1.414887458E0,-2.301076703E-1,-1.816729903E0,-7.396534842E-1,1.974979584E0
1.424859458E0,-4.167391726E-1,-1.395347968E0,-6.171777052E-1,1.581637067E0
1.434830458E0,-6.209200694E-1,-9.290459687E-1,-4.806254122E-1,1.216416430E0
1.444802458E0,-8.022575757E-1,-4.083636940E-1,-3.585174230E-1,9.689751632E-1
1.454773458E0,-8.264301845E-1,7.119745195E-2,-2.116604358E-1,8.560701297E-1
1.464745458E0,-7.372901127E-1,5.423122948E-1,-1.667309424E-1,9.303217415E-1
1.474717458E0,-5.979044053E-1,1.095915563E0,-1.759941014E-1,1.260751571E0
1.484688458E0,-3.417229772E-1,1.618867727E0,-1.745715469E-1,1.663725499E0
1.494660458E0,-1.318949126E-2,2.099062126E0,-2.237033612E-1,2.110990044E0
1.504631458E0,3.360497893E-1,2.608418929E0,-3.653948450E-1,2.655238626E0
1.514603625E0,6.409628628E-1,3.120709864E0,-5.227457936E-1,3.228455763E0
1.524574625E0,9.129850560E-1,3.567938247E0,-6.004394656E-1,3.731521486E0
1.534546625E0,1.061862183E0,3.976769133E0,-6.475534058E-1,4.166721667E0
1.544518625E0,1.007594394E0,4.397627742E0,-6.422049576E-1,4.557060832E0
1.554489625E0,8.451105767E-1,4.710940853E0,-6.095283411E-1,4.824800556E0
