"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.526118667E0,7.227684065E-1,-4.401871651E0,-5.668782020E-1,4.496689794E0
2.536090667E0,7.253012010E-1,-4.852865056E0,-5.701409483E-1,4.939779528E0
2.546062667E0,6.987177122E-1,-5.232320700E0,-6.303643459E-1,5.316271773E0
2.556033667E0,6.379432145E-1,-5.593400885E0,-5.783341400E-1,5.659291067E0
2.566005667E0,5.794076522E-1,-5.956186118E0,-4.859007702E-1,6.003995824E0
2.575976667E0,4.928039199E-1,-6.259388807E0,-4.453268677E-1,6.294530957E0
2.585948667E0,4.014504578E-1,-6.535084441E0,-4.507180005E-1,6.562898585E0
2.595920667E0,3.049179341E-1,-6.795768517E0,-4.665318684E-1,6.818584653E0
2.605891667E0,2.384182082E-1,-7.022521786E0,-3.867815479E-1,7.037205088E0
2.615863667E0,1.373008096E-1,-7.190223439E0,-3.220324785E-1,7.198740830E0
2.625834667E0,8.808669582E-2,-7.344775289E0,-3.134200414E-1,7.351987176E0
2.635806667E0,1.139724657E-2,-7.469340863E0,-3.116121554E-1,7.475846772E0
2.645778667E0,-2.621522393E-2,-7.519551489E0,-2.678398991E-1,7.524365757E0
2.655749667E0,-8.305017835E-2,-7.557386482E0,-1.886493399E-1,7.560196846E0
2.665721667E0,-1.386853755E-1,-7.556939170E0,-1.616387119E-1,7.559939836E0
2.675692667E0,-2.020005980E-1,-7.503506144E0,-1.582490810E-1,7.507892612E0
2.685664667E0,-2.159278982E-1,-7.408584784E0,-1.580555381E-1,7.413415874E0
2.695636667E0,-2.127090243E-1,-7.276074598E0,-1.103708915E-1,7.280019809E0
2.705607667E0,-2.242771557E-1,-7.107505218E0,-1.039898068E-1,7.111803186E0
2.715579667E0,-2.428115685E-1,-6.891437151E0,-1.043120066E-1,6.896502336E0
2.725550667E0,-2.077864727E-1,-6.635082938E0,-1.303011169E-1,6.639614386E0
2.735522667E0,-1.659087507E-1,-6.365361990E0,-1.562311703E-1,6.369440097E0
2.745494667E0,-1.222248604E-1,-6.016924070E0,-1.739149046E-1,6.020677751E0
2.755465667E0,-6.936296113E-2,-5.670115185E0,-2.138361847E-1,5.674569882E0
2.765437667E0,-1.437625676E-2,-5.308627449E0,-2.403673410E-1,5.314085860E0
2.775408667E0,5.742605310E-2,-4.896853074E0,-2.550309885E-1,4.903825913E0
2.785380667E0,1.007651404E-1,-4.454596580E0,-2.828836155E-1,4.464706871E0
2.795352667E0,1.051344358E-1,-4.031069301E0,-2.495357752E-1,4.040153594E0
2.805323667E0,1.356761608E-1,-3.596318293E0,-1.523737530E-1,3.602100921E0
2.815295667E0,9.926185783E-2,-3.119108312E0,-6.321891706E-2,3.121327636E0
2.825266667E0,2.909837633E-2,-2.674640400E0,5.555908282E-2,2.675375637E0
2.835238208E0,-7.200586606E-2,-2.204757566E0,1.843439984E-1,2.213622253E0
2.845210208E0,-1.917213208E-1,-1.710431031E0,3.754146338E-1,1.761609356E0
2.855181208E0,-3.473122575E-1,-1.251336309E0,4.794845474E-1,1.384331533E0
2.865153208E0,-5.661276022E-1,-7.851120776E-1,5.220990551E-1,1.099767639E0
2.875124208E0,-6.652589940E-1,-2.686994398E-1,6.931651962E-1,9.976206229E-1
2.885096208E0,-7.665769156E-1,2.514062995E-1,7.744777465E-1,1.118329591E0
2.895068208E0,-8.168149500E-1,7.580429775E-1,6.901527107E-1,1.310773276E0
2.905039208E0,-8.830679964E-1,1.293101217E0,5.679318702E-1,1.665672973E0
2.915011208E0,-7.636510420E-1,1.867099573E0,4.320355618E-1,2.062978055E0
2.924982208E0,-6.057056142E-1,2.384292814E0,3.386894417E-1,2.483232179E0
2.934954208E0,-4.503331807E-1,2.928185611E0,9.615631023E-2,2.964172226E0
2.944926208E0,-2.621943393E-1,3.498406667E0,-3.028740764E-2,3.508348957E0
2.954897208E0,-3.013669565E-2,4.000191910E0,-6.728857001E-2,4.000871316E0
2.964869208E0,1.533315361E-1,4.498644825E0,-5.932701945E-2,4.501648089E0
2.974840208E0,2.372124393E-1,4.965350282E0,-6.372293791E-2,4.971421706E0
2.984812208E0,2.954339330E-1,5.375241854E0,1.197229099E-1,5.384685670E0
2.994784208E0,2.455899644E-1,5.720578410E0,3.431882894E-1,5.736123253E0
3.004755208E0,9.547779568E-2,6.040181370E0,5.536670029E-1,6.066255364E0
3.014727208E0,-7.788546067E-2,6.320400994E0,7.350347686E-1,6.363474757E0
3.024699208E0,-2.475211901E-1,6.531626397E0,9.345967305E-1,6.602793438E0
3.034670208E0,-4.702052720E-1,6.761516113E0,1.037691329E0,6.856821161E0
3.044642208E0,-6.627171363E-1,6.965014420E0,9.952732873E-1,7.066908008E0
3.054613208E0,-7.506524623E-1,7.111687147E0,8.462078798E-1,7.201086097E0
3.064585208E0,-7.426107866E-1,7.262178690E0,6.826098025E-1,7.331893770E0
3.074556208E0,-7.006282899E-1,7.416316558E0,4.508741212E-1,7.462969835E0
3.084528208E0,-5.403549029E-1,7.502141404E0,1.657439689E-1,7.523402165E0
3.094500208E0,-2.996936479E-1,7.564783210E0,-3.786072135E-2,7.570812026E0
3.104471208E0,-1.098562086E-1,7.639718202E0,-1.207087322E-1,7.641461457E0
3.114443208E0,6.973451514E-2,7.622998089E0,-1.484830066E-1,7.624762945E0
3.124415208E0,2.538193723E-1,7.557516291E0,-1.057048134E-1,7.562516133E0
3.134386208E0,3.449828730E-1,7.453177405E0,8.314272881E-2,7.461620422E0
