"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.758310375E0,5.226127329E-1,-1.896521008E0,2.420748194E-2,1.967359145E0
1.768281375E0,5.664077935E-1,-2.072597044E0,5.736120382E-2,2.149364232E0
1.778253375E0,5.658719692E-1,-2.279810672E0,8.280942838E-2,2.350447869E0
1.788225375E0,5.360038801E-1,-2.448646100E0,1.224184763E-1,2.509612354E0
1.798196375E0,4.505749630E-1,-2.616344245E0,1.657159388E-1,2.660025710E0
1.808168375E0,4.222025551E-1,-2.780248716E0,1.697212815E-1,2.817240358E0
1.818140375E0,3.428839784E-1,-2.910100173E0,1.977586806E-1,2.936896481E0
1.828111375E0,2.359444340E-1,-3.054428167E0,2.086122823E-1,3.070622133E0
1.838083375E0,1.911416059E-1,-3.168671651E0,2.260884404E-1,3.182472487E0
1.848055375E0,1.540717936E-1,-3.286285470E0,2.118259120E-1,3.296707528E0
1.858026375E0,1.157113545E-1,-3.360933949E0,1.836154536E-1,3.367934198E0
1.867998375E0,1.144708677E-1,-3.437807293E0,1.638226104E-1,3.443611536E0
1.877970375E0,1.560480063E-1,-3.505595233E0,1.492536879E-1,3.512239397E0
1.887942375E0,1.940136120E-1,-3.554424747E0,1.200258140E-1,3.561738727E0
1.897913375E0,2.564908189E-1,-3.576282808E0,1.233330174E-1,3.587589343E0
1.907885375E0,3.270083128E-1,-3.614165749E0,8.914666811E-2,3.630024191E0
1.917857375E0,4.254565671E-1,-3.613108572E0,7.737622300E-2,3.638894602E0
1.927828375E0,5.407386629E-1,-3.595400864E0,6.763593117E-2,3.636465358E0
1.937800375E0,6.359185430E-1,-3.602042132E0,8.195223570E-2,3.658663155E0
1.947772375E0,7.410780121E-1,-3.576727781E0,1.074308749E-1,3.654274160E0
1.957743375E0,8.281987479E-1,-3.544462261E0,1.154322231E-1,3.641764748E0
1.967715375E0,8.829813114E-1,-3.508746883E0,1.200410167E-1,3.620134048E0
1.977686750E0,9.539578848E-1,-3.443884304E0,1.548459832E-1,3.576919348E0
1.987657750E0,1.002389933E0,-3.390517352E0,1.791458237E-1,3.540125240E0
1.997629750E0,9.921584755E-1,-3.313903039E0,2.202798164E-1,3.466245085E0
2.007601750E0,9.537842225E-1,-3.243299664E0,2.672727191E-1,3.391184419E0
2.017572750E0,9.276910226E-1,-3.141824745E0,2.777076785E-1,3.287673177E0
2.027544750E0,8.508919381E-1,-3.014571791E0,2.878490893E-1,3.145555161E0
2.037516750E0,7.624910275E-1,-2.920166155E0,2.830485070E-1,3.031316446E0
2.047487750E0,6.770686886E-1,-2.810832578E0,2.884478259E-1,2.905581515E0
2.057459750E0,5.893016893E-1,-2.665172004E0,2.644274640E-1,2.742323864E0
